ticker,instrument,name,sector,industry,currency,created_date
DUK,stock,Duke Energy,Utilities,Electric Utilities,USD,2020-10-21 02:46:36.159667
DRE,stock,Duke Realty Corp,Real Estate,Industrial REITs,USD,2020-10-21 02:46:36.159667
DD,stock,DuPont de Nemours Inc,Materials,Specialty Chemicals,USD,2020-10-21 02:46:36.159667
DXC,stock,DXC Technology,Information Technology,IT Consulting & Other Services,USD,2020-10-21 02:46:36.159667
EMN,stock,Eastman Chemical,Materials,Diversified Chemicals,USD,2020-10-21 02:46:36.159667
ETN,stock,Eaton Corporation,Industrials,Electrical Components & Equipment,USD,2020-10-21 02:46:36.159667
EBAY,stock,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,USD,2020-10-21 02:46:36.159667
ECL,stock,Ecolab Inc.,Materials,Specialty Chemicals,USD,2020-10-21 02:46:36.159667
EIX,stock,Edison Int'l,Utilities,Electric Utilities,USD,2020-10-21 02:46:36.159667
EW,stock,Edwards Lifesciences,Health Care,Health Care Equipment,USD,2020-10-21 02:46:36.159667
EA,stock,Electronic Arts,Communication Services,Interactive Home Entertainment,USD,2020-10-21 02:46:36.159667
EMR,stock,Emerson Electric Company,Industrials,Electrical Components & Equipment,USD,2020-10-21 02:46:36.159667
ETR,stock,Entergy Corp.,Utilities,Electric Utilities,USD,2020-10-21 02:46:36.159667
EOG,stock,EOG Resources,Energy,Oil & Gas Exploration & Production,USD,2020-10-21 02:46:36.159667
EFX,stock,Equifax Inc.,Industrials,Research & Consulting Services,USD,2020-10-21 02:46:36.159667
EQIX,stock,Equinix,Real Estate,Specialized REITs,USD,2020-10-21 02:46:36.159667
EQR,stock,Equity Residential,Real Estate,Residential REITs,USD,2020-10-21 02:46:36.159667
ESS,stock,"Essex Property Trust, Inc.",Real Estate,Residential REITs,USD,2020-10-21 02:46:36.159667
EL,stock,Estée Lauder Companies,Consumer Staples,Personal Products,USD,2020-10-21 02:46:36.159667
ETSY,stock,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,USD,2020-10-21 02:46:36.159667
EVRG,stock,Evergy,Utilities,Electric Utilities,USD,2020-10-21 02:46:36.159667
ES,stock,Eversource Energy,Utilities,Multi-Utilities,USD,2020-10-21 02:46:36.159667
RE,stock,Everest Re Group Ltd.,Financials,Reinsurance,USD,2020-10-21 02:46:36.159667
EXC,stock,Exelon Corp.,Utilities,Multi-Utilities,USD,2020-10-21 02:46:36.159667
EXPE,stock,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,USD,2020-10-21 02:46:36.159667
EXPD,stock,Expeditors,Industrials,Air Freight & Logistics,USD,2020-10-21 02:46:36.159667
EXR,stock,Extra Space Storage,Real Estate,Specialized REITs,USD,2020-10-21 02:46:36.159667
XOM,stock,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,USD,2020-10-21 02:46:36.159667
FFIV,stock,F5 Networks,Information Technology,Communications Equipment,USD,2020-10-21 02:46:36.159667
FB,stock,"Facebook, Inc.",Communication Services,Interactive Media & Services,USD,2020-10-21 02:46:36.159667
FAST,stock,Fastenal Co,Industrials,Building Products,USD,2020-10-21 02:46:36.159667
FRT,stock,Federal Realty Investment Trust,Real Estate,Retail REITs,USD,2020-10-21 02:46:36.159667
FDX,stock,FedEx Corporation,Industrials,Air Freight & Logistics,USD,2020-10-21 02:46:36.159667
FIS,stock,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,USD,2020-10-21 02:46:36.159667
FITB,stock,Fifth Third Bancorp,Financials,Regional Banks,USD,2020-10-21 02:46:36.159667
FE,stock,FirstEnergy Corp,Utilities,Electric Utilities,USD,2020-10-21 02:46:36.159667
FRC,stock,First Republic Bank,Financials,Regional Banks,USD,2020-10-21 02:46:36.159667
FISV,stock,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,USD,2020-10-21 02:46:36.159667
FLT,stock,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,USD,2020-10-21 02:46:36.159667
FLIR,stock,FLIR Systems,Information Technology,Electronic Equipment & Instruments,USD,2020-10-21 02:46:36.159667
FLS,stock,Flowserve Corporation,Industrials,Industrial Machinery,USD,2020-10-21 02:46:36.159667
FMC,stock,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,USD,2020-10-21 02:46:36.159667
F,stock,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,USD,2020-10-21 02:46:36.159667
FTNT,stock,Fortinet,Information Technology,Systems Software,USD,2020-10-21 02:46:36.159667
FTV,stock,Fortive Corp,Industrials,Industrial Machinery,USD,2020-10-21 02:46:36.159667
FBHS,stock,Fortune Brands Home & Security,Industrials,Building Products,USD,2020-10-21 02:46:36.159667
FOXA,stock,Fox Corporation,Communication Services,Movies & Entertainment,USD,2020-10-21 02:46:36.159667
FOX,stock,Fox Corporation,Communication Services,Movies & Entertainment,USD,2020-10-21 02:46:36.159667
BEN,stock,Franklin Resources,Financials,Asset Management & Custody Banks,USD,2020-10-21 02:46:36.159667
FCX,stock,Freeport-McMoRan Inc.,Materials,Copper,USD,2020-10-21 02:46:36.159667
GPS,stock,Gap Inc.,Consumer Discretionary,Apparel Retail,USD,2020-10-21 02:46:36.159667
GRMN,stock,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,USD,2020-10-21 02:46:36.159667
IT,stock,Gartner Inc,Information Technology,IT Consulting & Other Services,USD,2020-10-21 02:46:36.159667
GD,stock,General Dynamics,Industrials,Aerospace & Defense,USD,2020-10-21 02:46:36.159667
GE,stock,General Electric,Industrials,Industrial Conglomerates,USD,2020-10-21 02:46:36.159667
GIS,stock,General Mills,Consumer Staples,Packaged Foods & Meats,USD,2020-10-21 02:46:36.159667
GM,stock,General Motors,Consumer Discretionary,Automobile Manufacturers,USD,2020-10-21 02:46:36.159667
GPC,stock,Genuine Parts,Consumer Discretionary,Specialty Stores,USD,2020-10-21 02:46:36.159667
GILD,stock,Gilead Sciences,Health Care,Biotechnology,USD,2020-10-21 02:46:36.159667
GL,stock,Globe Life Inc.,Financials,Life & Health Insurance,USD,2020-10-21 02:46:36.159667
GPN,stock,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,USD,2020-10-21 02:46:36.159667
GS,stock,Goldman Sachs Group,Financials,Investment Banking & Brokerage,USD,2020-10-21 02:46:36.159667
GWW,stock,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,USD,2020-10-21 02:46:36.159667
HAL,stock,Halliburton Co.,Energy,Oil & Gas Equipment & Services,USD,2020-10-21 02:46:36.159667
HBI,stock,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",USD,2020-10-21 02:46:36.159667
HIG,stock,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,USD,2020-10-21 02:46:36.159667
HAS,stock,Hasbro Inc.,Consumer Discretionary,Leisure Products,USD,2020-10-21 02:46:36.159667
HCA,stock,HCA Healthcare,Health Care,Health Care Facilities,USD,2020-10-21 02:46:36.159667
PEAK,stock,Healthpeak Properties,Real Estate,Health Care REITs,USD,2020-10-21 02:46:36.159667
HSIC,stock,Henry Schein,Health Care,Health Care Distributors,USD,2020-10-21 02:46:36.159667
HSY,stock,The Hershey Company,Consumer Staples,Packaged Foods & Meats,USD,2020-10-21 02:46:36.159667
HES,stock,Hess Corporation,Energy,Integrated Oil & Gas,USD,2020-10-21 02:46:36.159667
HPE,stock,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",USD,2020-10-21 02:46:36.159667
HLT,stock,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",USD,2020-10-21 02:46:36.159667
HFC,stock,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,USD,2020-10-21 02:46:36.159667
HOLX,stock,Hologic,Health Care,Health Care Equipment,USD,2020-10-21 02:46:36.159667
HD,stock,Home Depot,Consumer Discretionary,Home Improvement Retail,USD,2020-10-21 02:46:36.159667
